uuid,author,link
c9f1b892-c774-4224-9a2f-3bdc4a16d3eb,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
c9303f96-961f-43a8-87b4-257e21960c38,"Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D.","Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D. (2012). Hybrid cloud for dummies. John Wiley & Sons."
8ffdeee1-c5d1-4cf1-9f51-6d2e5eb2d0b2,"Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D.","Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D. (2012). Hybrid cloud for dummies. John Wiley & Sons."
5f121ab2-0b7d-4328-9478-1332bdefa6ed,"Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D.","Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D. (2012). Hybrid cloud for dummies. John Wiley & Sons."
71b82926-3739-463b-ba2b-fcc519dcbd25,"Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D.","Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D. (2012). Hybrid cloud for dummies. John Wiley & Sons."
9e0fb05e-ce5e-4895-82ae-a825ca7b0928,"Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D.","Hurwitz, J. S., Kaufman, M., Halper, F., & Kirsch, D. (2012). Hybrid cloud for dummies. John Wiley & Sons."
16724522-1978-4231-b5a7-34744ff4121e,"Shrivastwa, A.","Shrivastwa, A. (2018). Hybrid cloud for architects: Build robust hybrid cloud solutions using aws and openstack. Packt Publishing Ltd."
b637c765-9cf7-4c10-9f37-f8b433f553ac,"Shrivastwa, A.","Shrivastwa, A. (2018). Hybrid cloud for architects: Build robust hybrid cloud solutions using aws and openstack. Packt Publishing Ltd."
149b7b03-f2ca-4879-b708-4c895e108b0f,"Shrivastwa, A.","Shrivastwa, A. (2018). Hybrid cloud for architects: Build robust hybrid cloud solutions using aws and openstack. Packt Publishing Ltd."
7198ec4c-870b-4496-9479-a5881d5eea7e,"Shrivastwa, A.","Shrivastwa, A. (2018). Hybrid cloud for architects: Build robust hybrid cloud solutions using aws and openstack. Packt Publishing Ltd."
00d26ead-546c-4838-ab7b-237ce34eec77,"Shrivastwa, A.","Shrivastwa, A. (2018). Hybrid cloud for architects: Build robust hybrid cloud solutions using aws and openstack. Packt Publishing Ltd."
7dbae211-fa29-4774-84a6-6f14b22c6e07,"Shrivastwa, A.","Shrivastwa, A. (2018). Hybrid cloud for architects: Build robust hybrid cloud solutions using aws and openstack. Packt Publishing Ltd."
1f8b17f2-3860-4715-ae46-27b61e223504,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
57109ae0-7e17-4810-b036-37665a206f07,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
0f2428ca-f801-4c85-8e97-8c3230267d70,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
f9bedfc1-32f5-492c-9ef7-6e045e877799,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
de7e1eae-0b60-41ac-b9e6-b29376db643c,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
a5f724ce-beab-4d94-8080-d2bc63c22408,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
e0a04747-f6d8-4c67-b160-d10e8d3c6859,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
88ef5389-e6a9-4c6c-bd36-160cda9f06b5,"Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S.","Zikopoulos, P., Bienko, C., Backer, C., Konarski, C., & Vennam, S. (2021). Cloud Without Compromise: Hybrid Cloud for the Enterprise. O'Reilly Media, Inc."
